"region","age of the Mother","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"00 Sweden","-14 years","men",3,3,1,1,1,1,1,2,1,1,3,0,1,1,2,2,2,1,2,1,1,1,2,1
"00 Sweden","-14 years","women",1,0,1,1,2,1,0,2,2,1,2,3,1,2,0,0,4,0,1,0,2,0,0,1
"00 Sweden","15 years","men",6,7,1,7,11,11,9,9,4,7,4,8,6,3,5,4,6,8,6,3,4,4,5,2
"00 Sweden","15 years","women",11,9,9,3,8,7,4,8,8,3,5,1,3,7,8,2,5,4,2,2,2,2,2,1
"00 Sweden","16 years","men",21,34,25,24,27,33,27,28,22,24,27,24,20,26,20,13,18,17,15,14,10,7,7,9
"00 Sweden","16 years","women",20,26,23,27,30,30,31,43,33,28,28,22,20,20,16,17,23,23,24,6,9,8,7,9
"00 Sweden","17 years","men",87,79,109,96,100,72,85,76,79,88,98,68,58,58,44,53,63,50,39,34,35,22,17,17
"00 Sweden","17 years","women",94,67,86,81,66,85,81,83,74,84,59,72,59,54,45,49,45,48,38,26,29,19,23,24
"00 Sweden","18 years","men",177,152,170,184,175,159,188,180,184,188,179,153,131,132,129,101,93,109,114,90,71,55,38,35
"00 Sweden","18 years","women",151,160,164,163,149,149,172,166,170,153,141,135,151,148,115,109,87,90,92,62,61,60,58,36
"00 Sweden","19 years","men",347,361,328,286,293,361,374,355,391,375,399,407,291,264,288,213,235,239,231,198,147,139,126,116
"00 Sweden","19 years","women",320,294,308,255,314,305,265,321,339,349,317,315,299,242,221,222,213,219,229,192,144,137,125,107
"00 Sweden","20 years","men",601,561,561,535,535,589,630,623,679,672,692,637,587,557,489,468,427,447,444,366,332,308,262,234
"00 Sweden","20 years","women",549,509,522,528,512,557,590,594,615,660,655,603,575,537,461,462,433,375,383,328,348,283,215,228
"00 Sweden","21 years","men",889,757,781,851,852,768,822,971,1007,1091,1054,1002,887,905,751,740,738,670,641,586,547,493,429,399
"00 Sweden","21 years","women",817,797,781,767,785,759,802,859,937,996,1014,995,983,890,787,701,685,659,619,605,503,441,407,386
"00 Sweden","22 years","men",1065,1052,1110,1062,1058,1083,1098,1273,1341,1299,1436,1336,1396,1310,1219,1114,1085,1026,988,896,801,712,662,564
"00 Sweden","22 years","women",945,1020,1101,1063,952,1015,1124,1177,1264,1258,1315,1225,1316,1193,1077,1067,1024,965,907,775,764,674,652,538
"00 Sweden","23 years","men",1283,1325,1440,1402,1358,1340,1398,1409,1633,1745,1740,1730,1711,1772,1678,1641,1516,1399,1375,1237,1074,979,901,852
"00 Sweden","23 years","women",1247,1189,1267,1246,1206,1254,1295,1400,1480,1584,1577,1623,1614,1684,1663,1500,1417,1315,1194,1158,988,942,848,768
"00 Sweden","24 years","men",1557,1612,1626,1681,1649,1742,1719,1822,1887,1950,2129,2086,2174,2172,2254,2182,2133,1948,1766,1621,1414,1312,1222,1155
"00 Sweden","24 years","women",1608,1556,1511,1499,1573,1523,1579,1725,1786,1903,1984,2017,2110,2031,2123,2020,1955,1756,1796,1580,1342,1326,1087,1017
"00 Sweden","25 years","men",2244,2057,2077,1955,2084,2005,2072,2125,2254,2247,2464,2466,2588,2536,2672,2882,2674,2519,2345,2230,1970,1796,1559,1414
"00 Sweden","25 years","women",2016,1863,1879,1896,1994,1940,1969,2007,2138,2142,2365,2321,2362,2529,2554,2705,2609,2381,2300,2112,1868,1713,1424,1322
"00 Sweden","26 years","men",2643,2614,2471,2374,2356,2423,2487,2552,2590,2660,2860,2750,2996,3043,3188,3325,3448,3188,3119,2798,2635,2361,2082,1867
"00 Sweden","26 years","women",2574,2400,2301,2293,2260,2256,2416,2402,2446,2470,2658,2734,2858,2813,3142,3082,3259,3038,2803,2725,2429,2237,1970,1795
"00 Sweden","27 years","men",3205,3056,3032,2887,2836,2773,2984,3049,2941,3140,3132,3144,3318,3359,3470,3786,3813,3750,3710,3454,3365,3102,2688,2393
"00 Sweden","27 years","women",2968,2924,2873,2767,2654,2659,2849,2886,2818,2899,3015,2915,3052,3067,3358,3420,3609,3719,3396,3247,3070,2915,2519,2319
"00 Sweden","28 years","men",3510,3335,3587,3463,3300,3191,3312,3272,3535,3480,3609,3491,3574,3724,3865,3979,4183,4107,4338,4097,3958,3818,3344,2958
"00 Sweden","28 years","women",3200,3098,3340,3224,3117,3018,3102,3224,3326,3289,3419,3269,3328,3497,3656,3546,3970,3828,4132,3839,3739,3589,3279,2887
"00 Sweden","29 years","men",3719,3588,3782,3977,3834,3708,3768,3601,3932,3935,4077,3806,3717,3886,4058,4316,4317,4399,4557,4705,4623,4353,3909,3611
"00 Sweden","29 years","women",3460,3465,3542,3784,3656,3427,3492,3409,3494,3699,3724,3630,3585,3690,3836,3985,4118,4235,4286,4426,4376,4250,3714,3497
"00 Sweden","30 years","men",3629,3760,4110,4154,4285,3980,3973,3998,3965,4121,4316,3880,4126,4113,4316,4280,4540,4443,4643,4791,4951,4909,4357,3939
"00 Sweden","30 years","women",3485,3534,3785,3970,4053,3898,3853,3733,3791,4009,4214,3811,3874,3824,4019,4139,4397,4234,4524,4336,4716,4665,4153,3857
"00 Sweden","31 years","men",3396,3672,3956,4201,4236,4379,4314,4192,4175,4164,4455,4286,4280,4244,4262,4253,4498,4457,4584,4730,4814,5203,4656,4526
"00 Sweden","31 years","women",3193,3418,3886,3889,3920,4239,4163,3936,3957,3922,4035,4126,4071,4013,3914,4026,4260,4306,4297,4498,4451,4945,4296,4208
"00 Sweden","32 years","men",3241,3325,3565,4072,4109,4141,4322,4301,4086,4167,4113,4079,4299,4295,4135,4077,4208,4366,4421,4451,4726,5005,4697,4469
"00 Sweden","32 years","women",3094,3081,3466,3807,3925,3825,4254,3880,3939,3880,4039,3782,4017,3927,3966,3900,3953,4074,4165,4167,4367,4670,4390,4350
"00 Sweden","33 years","men",3159,3129,3164,3529,3739,3799,3942,4044,3910,3944,3956,3811,3855,4051,3943,3908,3785,3892,4056,4045,4184,4629,4276,4305
"00 Sweden","33 years","women",2890,2923,2989,3280,3594,3712,3746,3975,3749,3606,3777,3523,3605,3854,3703,3572,3679,3777,3876,3920,3955,4196,4036,3997
"00 Sweden","34 years","men",2705,2879,2967,2964,3309,3342,3740,3676,3712,3681,3571,3500,3593,3585,3814,3618,3573,3537,3545,3684,3723,4014,3854,3723
"00 Sweden","34 years","women",2626,2622,2735,2826,3051,3110,3469,3470,3499,3444,3543,3422,3302,3452,3561,3295,3283,3288,3432,3512,3594,3870,3699,3609
"00 Sweden","35 years","men",2350,2528,2480,2743,2638,2918,3241,3239,3330,3423,3369,3117,3188,3104,3187,3406,3195,3031,3217,3324,3318,3430,3377,3349
"00 Sweden","35 years","women",2218,2347,2541,2507,2523,2641,2924,2982,3009,3255,3148,2961,2993,2914,2942,3045,3164,2875,2956,3056,3163,3364,3112,3171
"00 Sweden","36 years","men",1953,2038,2193,2308,2251,2392,2582,2719,2746,2787,2967,2778,2715,2647,2623,2658,2882,2827,2659,2708,2785,2904,2799,2841
