"Live births, number by region, age of the Mother, sex and year"

"region";"age of the Mother";"sex";"2025"
"00 Sweden";"total, all ages";"total, all men and women";97491
"00 Sweden";"total, all ages";"men";50157
"00 Sweden";"total, all ages";"women";47331
"00 Sweden";"-14 years";"total, all men and women";0
"00 Sweden";"-14 years";"men";0
"00 Sweden";"-14 years";"women";0
"00 Sweden";"15 years";"total, all men and women";8
"00 Sweden";"15 years";"men";3
"00 Sweden";"15 years";"women";4
"00 Sweden";"16 years";"total, all men and women";12
"00 Sweden";"16 years";"men";4
"00 Sweden";"16 years";"women";4
"00 Sweden";"17 years";"total, all men and women";18
"00 Sweden";"17 years";"men";8
"00 Sweden";"17 years";"women";11
"00 Sweden";"18 years";"total, all men and women";57
"00 Sweden";"18 years";"men";29
"00 Sweden";"18 years";"women";28
"00 Sweden";"19 years";"total, all men and women";171
"00 Sweden";"19 years";"men";76
"00 Sweden";"19 years";"women";91
"00 Sweden";"20 years";"total, all men and women";327
"00 Sweden";"20 years";"men";164
"00 Sweden";"20 years";"women";164
"00 Sweden";"21 years";"total, all men and women";594
"00 Sweden";"21 years";"men";295
"00 Sweden";"21 years";"women";297
"00 Sweden";"22 years";"total, all men and women";1020
"00 Sweden";"22 years";"men";525
"00 Sweden";"22 years";"women";498
"00 Sweden";"23 years";"total, all men and women";1483
"00 Sweden";"23 years";"men";774
"00 Sweden";"23 years";"women";710
"00 Sweden";"24 years";"total, all men and women";1978
"00 Sweden";"24 years";"men";983
"00 Sweden";"24 years";"women";994
"00 Sweden";"25 years";"total, all men and women";2683
"00 Sweden";"25 years";"men";1415
"00 Sweden";"25 years";"women";1270
"00 Sweden";"26 years";"total, all men and women";3414
"00 Sweden";"26 years";"men";1740
"00 Sweden";"26 years";"women";1672
"00 Sweden";"27 years";"total, all men and women";4171
"00 Sweden";"27 years";"men";2101
"00 Sweden";"27 years";"women";2073
"00 Sweden";"28 years";"total, all men and women";5022
"00 Sweden";"28 years";"men";2620
"00 Sweden";"28 years";"women";2402
"00 Sweden";"29 years";"total, all men and women";6090
"00 Sweden";"29 years";"men";3151
"00 Sweden";"29 years";"women";2934
"00 Sweden";"30 years";"total, all men and women";7051
"00 Sweden";"30 years";"men";3600
"00 Sweden";"30 years";"women";3454
"00 Sweden";"31 years";"total, all men and women";8344
"00 Sweden";"31 years";"men";4364
"00 Sweden";"31 years";"women";3979
"00 Sweden";"32 years";"total, all men and women";8506
"00 Sweden";"32 years";"men";4390
"00 Sweden";"32 years";"women";4116
"00 Sweden";"33 years";"total, all men and women";8419
"00 Sweden";"33 years";"men";4291
"00 Sweden";"33 years";"women";4125
"00 Sweden";"34 years";"total, all men and women";7894
"00 Sweden";"34 years";"men";4122
"00 Sweden";"34 years";"women";3776
"00 Sweden";"35 years";"total, all men and women";7182
"00 Sweden";"35 years";"men";3734
"00 Sweden";"35 years";"women";3448
"00 Sweden";"36 years";"total, all men and women";5868
"00 Sweden";"36 years";"men";2968
"00 Sweden";"36 years";"women";2899
"00 Sweden";"37 years";"total, all men and women";4742
"00 Sweden";"37 years";"men";2388
"00 Sweden";"37 years";"women";2353
"00 Sweden";"38 years";"total, all men and women";3608
"00 Sweden";"38 years";"men";1853
"00 Sweden";"38 years";"women";1756
"00 Sweden";"39 years";"total, all men and women";2766
"00 Sweden";"39 years";"men";1449
"00 Sweden";"39 years";"women";1317
"00 Sweden";"40 years";"total, all men and women";2209
"00 Sweden";"40 years";"men";1155
"00 Sweden";"40 years";"women";1055
"00 Sweden";"41 years";"total, all men and women";1469
"00 Sweden";"41 years";"men";762
"00 Sweden";"41 years";"women";707
"00 Sweden";"42 years";"total, all men and women";916
"00 Sweden";"42 years";"men";470
"00 Sweden";"42 years";"women";446
"00 Sweden";"43 years";"total, all men and women";580
"00 Sweden";"43 years";"men";285
"00 Sweden";"43 years";"women";294
"00 Sweden";"44 years";"total, all men and women";339
"00 Sweden";"44 years";"men";158
"00 Sweden";"44 years";"women";179
"00 Sweden";"45 years";"total, all men and women";249
"00 Sweden";"45 years";"men";134
"00 Sweden";"45 years";"women";115
"00 Sweden";"46 years";"total, all men and women";128
"00 Sweden";"46 years";"men";59
"00 Sweden";"46 years";"women";69
"00 Sweden";"47 years";"total, all men and women";64
"00 Sweden";"47 years";"men";37
"00 Sweden";"47 years";"women";29
"00 Sweden";"48 years";"total, all men and women";32
"00 Sweden";"48 years";"men";20
"00 Sweden";"48 years";"women";15
"00 Sweden";"49+ years";"total, all men and women";70
"00 Sweden";"49+ years";"men";27
"00 Sweden";"49+ years";"women";40
"00 Sweden";"data not available";"total, all men and women";4
"00 Sweden";"data not available";"men";3
"00 Sweden";"data not available";"women";3
