"Population, number by age, sex and year"

"age";"sex";"2025"
"0 years";"women";47538
"1 year";"women";48479
"2 years";"women";49658
"3 years";"women";51746
"4 years";"women";56876
"5 years";"women";56253
"6 years";"women";57022
"7 years";"women";58290
"8 years";"women";58687
"9 years";"women";60784
"10 years";"women";59562
"11 years";"women";60834
"12 years";"women";60407
"13 years";"women";61229
"14 years";"women";60853
"15 years";"women";63186
"16 years";"women";61657
"17 years";"women";61120
"18 years";"women";60564
"19 years";"women";60704
"20 years";"women";59098
"21 years";"women";58677
"22 years";"women";59290
"23 years";"women";58881
"24 years";"women";57044
"25 years";"women";57731
"26 years";"women";57615
"27 years";"women";58264
"28 years";"women";59453
"29 years";"women";62273
"30 years";"women";66174
"31 years";"women";71190
"32 years";"women";73739
"33 years";"women";76383
"34 years";"women";77653
"35 years";"women";79058
"36 years";"women";75794
"37 years";"women";74310
"38 years";"women";71340
"39 years";"women";69759
"40 years";"women";68060
"41 years";"women";65624
"42 years";"women";64269
"43 years";"women";64160
"44 years";"women";63611
"45 years";"women";65462
"46 years";"women";63386
"47 years";"women";61458
"48 years";"women";61928
"49 years";"women";62213
"50 years";"women";64569
"51 years";"women";67010
"52 years";"women";65738
"53 years";"women";66641
"54 years";"women";66151
"55 years";"women";64493
"56 years";"women";63009
"57 years";"women";65284
"58 years";"women";67713
"59 years";"women";67758
"60 years";"women";67719
"61 years";"women";67209
"62 years";"women";62013
"63 years";"women";59159
"64 years";"women";56901
"65 years";"women";56200
"66 years";"women";55648
"67 years";"women";55059
"68 years";"women";55338
"69 years";"women";54453
"70 years";"women";53579
"71 years";"women";51701
"72 years";"women";52311
"73 years";"women";51297
"74 years";"women";50055
"75 years";"women";51235
"76 years";"women";52162
"77 years";"women";53110
"78 years";"women";51974
"79 years";"women";50917
"80 years";"women";48582
"81 years";"women";46028
"82 years";"women";41518
"83 years";"women";36485
"84 years";"women";30626
"85 years";"women";27459
"86 years";"women";25961
"87 years";"women";23256
"88 years";"women";19702
"89 years";"women";17517
"90 years";"women";14581
"91 years";"women";12484
"92 years";"women";10249
"93 years";"women";8832
"94 years";"women";7036
"95 years";"women";5644
"96 years";"women";4086
"97 years";"women";3056
"98 years";"women";2194
"99 years";"women";1460
"100+ years";"women";2439
