Age,Year,Population
0,1860,58837
1,1860,54833
2,1860,52048
3,1860,46036
4,1860,43001
5,1860,42032
6,1860,44463
7,1860,40179
8,1860,37243
9,1860,38833
10,1860,39062
11,1860,40318
12,1860,37123
13,1860,35000
14,1860,34058
15,1860,36137
16,1860,37414
17,1860,34864
18,1860,35570
19,1860,33424
20,1860,34301
21,1860,31501
22,1860,30194
23,1860,30897
24,1860,32119
25,1860,33044
26,1860,33276
27,1860,32856
28,1860,29472
29,1860,27379
30,1860,29585
31,1860,30788
32,1860,29277
33,1860,26793
34,1860,29901
35,1860,30734
36,1860,28980
37,1860,29941
38,1860,28631
39,1860,27062
40,1860,24783
41,1860,23650
42,1860,23892
43,1860,22883
44,1860,23747
45,1860,22763
46,1860,20079
47,1860,17437
48,1860,20129
49,1860,20306
50,1860,18633
51,1860,14825
52,1860,15257
53,1860,16208
54,1860,15478
55,1860,15692
56,1860,15485
57,1860,14867
58,1860,15221
59,1860,13190
60,1860,12104
61,1860,13255
62,1860,13091
63,1860,13056
64,1860,12882
65,1860,11329
66,1860,11329
67,1860,10712
68,1860,10636
69,1860,9065
70,1860,8024
71,1860,7349
72,1860,6993
73,1860,5884
74,1860,5793
75,1860,4921
76,1860,4389
77,1860,3547
78,1860,3302
79,1860,2960
80,1860,2911
81,1860,2170
82,1860,1814
83,1860,1392
84,1860,1116
85,1860,935
86,1860,743
87,1860,393
88,1860,353
89,1860,266
90,1860,211
91,1860,129
92,1860,88
93,1860,68
94,1860,35
95,1860,353
96,1860,0
97,1860,0
98,1860,0
99,1860,0
100,1860,0
101,1860,0
102,1860,0
103,1860,0
104,1860,0
105,1860,0
106,1860,0
107,1860,0
108,1860,0
109,1860,0
0,1861,58136
1,1861,53762
2,1861,53007
3,1861,50924
4,1861,45278
5,1861,42498
6,1861,41635
7,1861,44135
8,1861,39935
9,1861,37052
10,1861,38644
11,1861,38891
12,1861,40172
13,1861,36993
14,1861,34889
15,1861,33937
16,1861,35990
17,1861,37259
18,1861,34710
19,1861,35401
20,1861,33242
21,1861,34142
22,1861,31344
23,1861,30025
24,1861,30728
25,1861,31940
26,1861,32850
27,1861,33062
28,1861,32638
29,1861,29268
30,1861,27185
31,1861,29386
32,1861,30570
33,1861,29072
34,1861,26597
35,1861,29682
36,1861,30498
37,1861,28737
38,1861,29703
39,1861,28388
40,1861,26803
41,1861,24533
42,1861,23417
43,1861,23657
44,1861,22658
45,1861,23508
46,1861,22532
47,1861,19883
48,1861,17232
49,1861,19897
50,1861,20046
51,1861,18371
52,1861,14592
53,1861,15031
54,1861,15964
55,1861,15225
56,1861,15435
57,1861,15204
58,1861,14560
59,1861,14910
60,1861,12868
61,1861,11772
62,1861,12896
63,1861,12687
64,1861,12635
65,1861,12475
66,1861,10900
67,1861,11259
68,1861,10244
69,1861,10165
70,1861,8583
71,1861,7527
72,1861,6850
73,1861,6501
74,1861,5310
75,1861,5304
76,1861,4460
77,1861,3956
78,1861,3145
79,1861,2952
80,1861,2576
81,1861,2525
82,1861,1830
83,1861,1519
84,1861,1154
85,1861,914
86,1861,751
87,1861,597
88,1861,294
89,1861,272
90,1861,195
91,1861,154
92,1861,91
93,1861,63
94,1861,49
95,1861,345
96,1861,0
97,1861,0
98,1861,0
99,1861,0
100,1861,0
101,1861,0
102,1861,0
103,1861,0
104,1861,0
105,1861,0
106,1861,0
107,1861,0
108,1861,0
109,1861,0
0,1862,60041
1,1862,52282
2,1862,50988
3,1862,51213
4,1862,49605
5,1862,44332
6,1862,41833
7,1862,41115
8,1862,43714
9,1862,39622
10,1862,36807
11,1862,38407
12,1862,38690
13,1862,39997
14,1862,36812
15,1862,34706
16,1862,33761
17,1862,35805
18,1862,37069
19,1862,34527
20,1862,35203
21,1862,33028
22,1862,33923
23,1862,31123
24,1862,29814
25,1862,30529
26,1862,31742
27,1862,32633
28,1862,32824
29,1862,32408
30,1862,29058
31,1862,26971
32,1862,29167
33,1862,30344
34,1862,28849
35,1862,26371
36,1862,29447
37,1862,30259
38,1862,28466
39,1862,29414
40,1862,28109
41,1862,26543
42,1862,24272
43,1862,23152
44,1862,23414
45,1862,22407
46,1862,23240
47,1862,22276
48,1862,19657
49,1862,17021
50,1862,19656
51,1862,19771
52,1862,18120
53,1862,14359
54,1862,14770
55,1862,15690
56,1862,14933
57,1862,15139
58,1862,14905
59,1862,14231
60,1862,14561
61,1862,12504
62,1862,11390
63,1862,12486
64,1862,12248
65,1862,12176
66,1862,11985
67,1862,10387
68,1862,10726
69,1862,9677
70,1862,9606
71,1862,8056
72,1862,7034
73,1862,6362
74,1862,5983
75,1862,4801
76,1862,4826
77,1862,3996
78,1862,3511
79,1862,2729
80,1862,2555
81,1862,2179
82,1862,2155
83,1862,1520
84,1862,1251
85,1862,921
86,1862,712
87,1862,572
88,1862,458
89,1862,203
90,1862,208
91,1862,140
92,1862,104
93,1862,57
94,1862,41
95,1862,352
96,1862,0
97,1862,0
98,1862,0
99,1862,0
100,1862,0
101,1862,0
102,1862,0
103,1862,0
104,1862,0
105,1862,0
106,1862,0
107,1862,0
108,1862,0
109,1862,0
0,1863,59384
1,1863,54500
2,1863,50221
3,1863,51487
4,1863,50208
5,1863,48747
6,1863,43709
7,1863,41366
8,1863,40758
9,1863,43424
10,1863,39369
11,1863,36609
12,1863,38234
13,1863,38522
14,1863,39837
15,1863,36649
16,1863,34544
17,1863,33597
18,1863,35623
19,1863,36874
20,1863,34341
21,1863,35018
22,1863,32814
23,1863,33689
24,1863,30910
25,1863,29619
26,1863,30331
27,1863,31532
28,1863,32421
29,1863,32617
30,1863,32192
31,1863,28856
32,1863,26775
33,1863,28963
34,1863,30124
35,1863,28621
36,1863,26167
37,1863,29214
38,1863,30011
39,1863,28222
40,1863,29153
41,1863,27842
42,1863,26280
43,1863,24037
44,1863,22935
45,1863,23208
46,1863,22210
47,1863,23023
48,1863,22056
49,1863,19442
50,1863,16787
51,1863,19403
52,1863,19522
53,1863,17889
54,1863,14154
55,1863,14551
56,1863,15430
57,1863,14649
58,1863,14825
59,1863,14586
60,1863,13888
61,1863,14198
62,1863,12143
63,1863,11017
64,1863,12098
65,1863,12066
66,1863,11715
67,1863,11492
68,1863,9893
69,1863,10251
70,1863,9073
71,1863,9071
72,1863,7554
73,1863,6560
74,1863,5909
75,1863,5516
76,1863,4339
77,1863,4362
78,1863,3553
79,1863,3120
80,1863,2369
