Year,MotherAge,Births
1968,15,50
1968,16,331
1968,17,1328
1968,18,2799
1968,19,4258
1968,20,5878
1968,21,6813
1968,22,7978
1968,23,8732
1968,24,9217
1968,25,9118
1968,26,8335
1968,27,7292
1968,28,6392
1968,29,5933
1968,30,5104
1968,31,4134
1968,32,3693
1968,33,2924
1968,34,2576
1968,35,2100
1968,36,1870
1968,37,1645
1968,38,1288
1968,39,998
1968,40,807
1968,41,545
1968,42,372
1968,43,264
1968,44,150
1968,45,94
1968,46,31
1968,47,17
1968,48,9
1969,15,44
1969,16,272
1969,17,1036
1969,18,2276
1969,19,3545
1969,20,5002
1969,21,6359
1969,22,7341
1969,23,8347
1969,24,8874
1969,25,9146
1969,26,8748
1969,27,7600
1969,28,6340
1969,29,5644
1969,30,5020
1969,31,4109
1969,32,3502
1969,33,2940
1969,34,2312
1969,35,1957
1969,36,1561
1969,37,1454
1969,38,1127
1969,39,890
1969,40,727
1969,41,544
1969,42,352
1969,43,221
1969,44,157
1969,45,86
1969,46,44
1969,47,22
1969,48,9
1970,15,55
1970,16,348
1970,17,1132
1970,18,2197
1970,19,3331
1970,20,4663
1970,21,6132
1970,22,7526
1970,23,8499
1970,24,9441
1970,25,9400
1970,26,9467
1970,27,8639
1970,28,7165
1970,29,5726
1970,30,4890
1970,31,4204
1970,32,3523
1970,33,2807
1970,34,2375
1970,35,1900
1970,36,1595
1970,37,1297
1970,38,1071
1970,39,867
1970,40,604
1970,41,487
1970,42,321
1970,43,200
1970,44,126
1970,45,71
1970,46,52
1970,47,15
1970,48,9
1971,15,72
1971,16,310
1971,17,1084
1971,18,2207
1971,19,3468
1971,20,4704
1971,21,6142
1971,22,7561
1971,23,8838
1971,24,9552
1971,25,10057
1971,26,9971
1971,27,9141
1971,28,8040
1971,29,6572
1971,30,5234
1971,31,4241
1971,32,3644
1971,33,3040
1971,34,2407
1971,35,1954
1971,36,1520
1971,37,1248
1971,38,922
1971,39,797
1971,40,587
1971,41,442
1971,42,277
1971,43,205
1971,44,125
1971,45,66
1971,46,27
1971,47,11
1971,48,6
1972,15,47
1972,16,320
1972,17,1072
1972,18,2045
1972,19,3316
1972,20,4548
1972,21,5702
1972,22,7115
1972,23,8344
1972,24,9237
1972,25,9758
1972,26,9667
1972,27,9267
1972,28,8361
1972,29,7067
1972,30,5771
1972,31,4299
1972,32,3526
1972,33,2937
1972,34,2303
1972,35,1828
1972,36,1439
1972,37,1133
1972,38,943
1972,39,666
1972,40,537
1972,41,386
1972,42,273
1972,43,180
1972,44,90
1972,45,48
1972,46,24
1972,47,10
1972,48,7
1973,15,51
1973,16,274
1973,17,981
1973,18,1960
1973,19,2932
1973,20,4421
1973,21,5647
1973,22,6585
1973,23,7683
1973,24,8782
1973,25,9179
1973,26,9444
1973,27,9103
1973,28,8301
1973,29,7534
1973,30,6085
1973,31,4778
1973,32,3506
1973,33,2771
1973,34,2426
1973,35,1880
1973,36,1479
1973,37,1073
1973,38,856
1973,39,617
1973,40,450
1973,41,320
1973,42,210
1973,43,134
1973,44,91
1973,45,49
1973,46,31
1973,47,16
1973,48,7
1974,15,34
1974,16,242
1974,17,892
1974,18,1880
1974,19,3233
1974,20,4449
1974,21,5584
1974,22,6623
