Year,sex,total,married,pct_married
1968,both,3628424,2113255,58.24167737838797
1968,men,1847832,984231,53.26409543724754
1968,women,1780592,1129024,63.40722636067106
1969,both,3640804,2088969,57.376584952114975
1969,men,1856874,976196,52.572010809564894
1969,women,1783930,1112773,62.37761571362105
1970,both,3663523,2069544,56.49054202744189
1970,men,1871569,967474,51.6932050060671
1970,women,1791954,1102070,61.50102067352175
1971,both,3662110,2033621,55.53140129597418
1971,men,1870640,950064,50.788179446606506
1971,women,1791470,1083557,60.484239200209885
1972,both,3650273,1989772,54.51022430377125
1972,men,1863104,928791,49.85180644773453
1972,women,1787169,1060981,59.36657361447071
1973,both,3643410,1945432,53.39591207138368
1973,men,1859151,907697,48.82319940661087
1973,women,1784259,1037735,58.160558528778616
1974,both,3650920,1909081,52.290408992801815
1974,men,1863808,890697,47.789096301764985
1974,women,1787112,1018384,56.98490077846268
1975,both,3664399,1875188,51.17313916961554
1975,men,1871636,875396,46.77170133508866
1975,women,1792763,999792,55.76821922362298
1976,both,3686168,1854314,50.304652419531614
1976,men,1883828,866536,45.99867928494533
1976,women,1802340,987778,54.80530865430496
1977,both,3712230,1827324,49.22442844328072
1977,men,1897490,854471,45.031647070603796
1977,women,1814740,972853,53.60839569304694
1978,both,3742766,1796604,48.002039133624706
1978,men,1913516,840635,43.93143302695143
1978,women,1829250,955969,52.26016126827935
1979,both,3781246,1765106,46.680538637264014
1979,men,1933719,826291,42.730665624116014
1979,women,1847527,938815,50.81468362843953
1980,both,3819126,1734724,45.42201540352426
1980,men,1953326,812173,41.57897862415183
1980,women,1865800,922551,49.445331761174835
1981,both,3852080,1704462,44.24783493593072
1981,men,1969961,798312,40.524254033455485
1981,women,1882119,906150,48.14520229592284
1982,both,3886828,1675268,43.10116115248732
1982,men,1987370,784494,39.473978172157175
1982,women,1899458,890774,46.89621986903632
1983,both,3912812,1645783,42.06138705360748
1983,men,2000495,770689,38.52491508351683
1983,women,1912317,875094,45.760927712298745
1984,both,3936484,1619069,41.129825499100214
1984,men,2012934,757771,37.64509914383681
1984,women,1923550,861298,44.77648098567752
1985,both,3960346,1596091,40.30180696333098
1985,men,2025521,746868,36.872883569215034
1985,women,1934825,849223,43.89146305221402
1986,both,3988375,1576603,39.52995894317861
1986,men,2039841,737302,36.1450720914032
1986,women,1948534,839301,43.073459328910864
1987,both,4015698,1562217,38.90275115309966
1987,men,2053978,730298,35.55529806064135
1987,women,1961720,831919,42.407632077972394
1988,both,4043466,1556548,38.49538984623588
1988,men,2068839,727448,35.1621368313339
1988,women,1974627,829100,41.98767665994641
1989,both,4084849,1649770,40.387539417001705
1989,men,2091353,773035,36.963391641678854
1989,women,1993496,876735,43.97977221925702
1990,both,4107687,1659740,40.405707640333844
1990,men,2102576,777354,36.971505429530254
1990,women,2005111,882386,44.00684051905356
1991,both,4105159,1623497,39.547725191643
1991,men,2100200,758699,36.12508332539758
1991,women,2004959,864798,43.1329518458981
1992,both,4087357,1577792,38.601766373722675
1992,men,2090388,735675,35.19322728603494
1992,women,1996969,842117,42.169758268656146
1993,both,4067516,1528866,37.58721539140842
1993,men,2078727,710313,34.17057651148996
1993,women,1988789,818553,41.158363204945324
1994,both,4059050,1487280,36.64108596839162
1994,men,2073152,689035,33.236106180347605
1994,women,1985898,798245,40.195669666820756
1995,both,4028629,1430905,35.51841085391581
1995,men,2056723,661412,32.15853569002729
1995,women,1971906,769493,39.02280331821091
1996,both,3995635,1376255,34.44396197350358
1996,men,2039615,634823,31.124648524353862
1996,women,1956020,741432,37.90513389433646
1997,both,3964653,1324707,33.412936768993404
1997,men,2023967,609789,30.12840624377769
1997,women,1940686,714918,36.8384169309203
1998,both,3940992,1278937,32.45215925330475
1998,men,2011611,587773,29.21901898528095
1998,women,1929381,691164,35.82309559387182
1999,both,3926478,1243855,31.678644321959784
1999,men,2003475,570523,28.476671782777423
1999,women,1923003,673332,35.01460996160692
2000,both,3929201,1223729,31.144474410955308
2000,men,2004916,561441,28.00321808993494
2000,women,1924285,662288,34.41735501757796
2001,both,3937536,1198686,30.442540715818218
2001,men,2009065,549775,27.36471940927745
2001,women,1928471,648911,33.64898927699716
2002,both,3949624,1179569,29.865349207924602
2002,men,2014853,540921,26.846673181616723
2002,women,1934771,638648,33.00897108753439
2003,both,3971033,1166220,29.36817699575904
2003,men,2025791,534898,26.40440203357602
2003,women,1945242,631322,32.454676590367676
2004,both,3991902,1159385,29.043423410694952
2004,men,2036137,532008,26.128300797048528
2004,women,1955765,627377,32.078342745677524
2005,both,4020710,1156741,28.769570548485216
2005,men,2050494,531267,25.90921992456452
2005,women,1970216,625474,31.746468407524862
2006,both,4065366,1166941,28.704451210542913
2006,men,2075227,537629,25.906997162238156
2006,women,1990139,629312,31.621509854336807
2007,both,4112520,1182700,28.758522754904536
2007,men,2101315,546826,26.02303795480449
2007,women,2011205,635874,31.616568176789535
2008,both,4154081,1200904,28.90901742166318
2008,men,2121685,555850,26.198516744945646
2008,women,2032396,645054,31.738598186573878
2009,both,4198084,1214901,28.939416171758353
2009,men,2144067,562658,26.242556785772088
2009,women,2054017,652243,31.754508360933723
2010,both,4225038,1228477,29.076117185218216
2010,men,2158455,569875,26.401986606160424
2010,women,2066583,658602,31.869128895379475
2011,both,4235583,1235021,29.158229221337418
2011,men,2163703,573465,26.503868599341036
2011,women,2071880,661556,31.930227619360195
2012,both,4239360,1243389,29.329639379528984
2012,men,2164365,577202,26.66842237792609
2012,women,2074995,666187,32.105474952951695
2013,both,4240609,1239459,29.2283254598573
2013,men,2165625,575398,26.569604617604618
2013,women,2074984,664061,32.00318653059494
2014,both,4250749,1243526,29.254279657538
2014,men,2173528,578484,26.614978044911314
2014,women,2077221,665042,32.01594823083341
2015,both,4264791,1248493,29.27442399873757
2015,men,2183493,581489,26.631136440556485
2015,women,2081298,667004,32.047501126700745
2016,both,4308685,1264838,29.3555458335896
2016,men,2212082,589976,26.670620709358875
2016,women,2096603,674862,32.18835420916597
2017,both,4352327,1275588,29.30818387497079
2017,men,2237450,594621,26.575834096851327
2017,women,2114877,680967,32.198893836379135
2018,both,4395060,1282120,29.17184293274722
2018,men,2261164,597305,26.415819462896103
2018,women,2133896,684815,32.09223879701729
2019,both,4430669,1279809,28.885231553067946
2019,men,2281882,596381,26.135488162841025
2019,women,2148787,683428,31.80529293969109
2020,both,4439938,1248308,28.115437648003194
2020,men,2286611,581094,25.412892704530854
2020,women,2153327,667214,30.98526141175957
2021,both,4463580,1226983,27.48876462391175
2021,men,2299107,571016,24.836425620904116
2021,women,2164473,655967,30.30608374417237
2022,both,4497739,1228537,27.314546264245212
2022,men,2317843,573481,24.742012293326166
2022,women,2179896,655056,30.049873938940205
2023,both,4507013,1212844,26.910150913698274
2023,men,2321304,566015,24.383493071135877
