"region","marital status","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"00 Sweden","single","0 years","men",46764,47214,49275,51138,52037,52135,54684,55427,56528,57720,59496,57359,58309,58649,59584,59994,61005,59899,60032,59476,58485,58692,54095
"00 Sweden","single","0 years","women",43950,44439,46751,48092,49053,49420,51594,52330,53136,54400,56414,54755,55178,55359,56296,55884,58018,56715,56807,55907,55104,55971,51091
"00 Sweden","single","1 year","men",45641,47187,47631,49687,51460,52476,52730,55242,56162,57188,58366,60199,58059,59039,59489,60640,61352,62531,60973,60993,60058,59195,59411
"00 Sweden","single","1 year","women",43589,44441,45055,47392,48821,49715,50183,52289,53001,53714,55057,57043,55393,55884,56083,57292,57216,59444,57789,57783,56533,55855,56712
"00 Sweden","single","2 years","men",46503,45911,47449,47852,49910,51641,52925,53140,55789,56635,57606,58808,60713,58721,59807,60292,61817,62258,63361,61598,61348,60596,59723
"00 Sweden","single","2 years","women",43801,43868,44731,45352,47715,49157,50166,50657,52823,53495,54111,55477,57511,55839,56582,56834,58348,58123,60164,58432,58077,57016,56304
"00 Sweden","single","3 years","men",46902,46749,46190,47680,48059,50081,52057,53368,53638,56210,56944,57971,59270,61260,59395,60662,61378,62825,63030,63965,61826,61724,60942
"00 Sweden","single","3 years","women",44555,44027,44131,44934,45484,47890,49522,50530,51118,53263,53710,54473,55905,58024,56429,57297,57775,59233,58792,60716,58644,58325,57408
"00 Sweden","single","4 years","men",49080,47174,47047,46438,47877,48207,50472,52417,53870,54073,56519,57288,58372,59825,61909,60196,61840,62332,63640,63535,64163,62173,62012
"00 Sweden","single","4 years","women",47065,44757,44239,44321,45142,45623,48250,49905,50917,51524,53565,53996,54873,56419,58583,57127,58292,58684,59910,59313,60838,58887,58669
"00 Sweden","single","5 years","men",53464,49297,47404,47322,46626,48036,48506,50809,52819,54261,54366,56802,57661,59012,60375,62686,61241,62742,63087,64161,63701,64388,62443
"00 Sweden","single","5 years","women",50619,47291,44976,44446,44514,45300,45947,48602,50307,51321,51764,53828,54410,55491,57024,59253,58092,59279,59388,60408,59442,61053,59105
"00 Sweden","single","6 years","men",57625,53704,49544,47587,47510,46782,48509,48946,51221,53193,54549,54614,57207,58259,59709,61064,63718,62154,63441,63519,64238,63929,64547
"00 Sweden","single","6 years","women",55297,50810,47531,45187,44633,44601,45688,46305,48980,50719,51557,52021,54185,55037,56106,57748,60258,58916,60056,59816,60529,59628,61159
"00 Sweden","single","7 years","men",60277,57797,53918,49748,47765,47628,47110,48864,49360,51641,53547,54836,55017,57858,58891,60445,62065,64652,62905,63972,63679,64355,64092
"00 Sweden","single","7 years","women",57776,55534,51001,47750,45344,44781,44906,46055,46707,49372,50945,51811,52405,54800,55641,56851,58604,61077,59582,60569,60012,60715,59750
"00 Sweden","single","8 years","men",63755,60499,58034,54127,49940,47971,48009,47516,49307,49753,51884,53794,55213,55695,58475,59572,61409,62973,65385,63414,64204,63922,64540
"00 Sweden","single","8 years","women",60351,57963,55739,51206,47861,45507,45115,45254,46412,47097,49578,51183,52131,53099,55404,56272,57759,59410,61763,60057,60713,60232,60931
"00 Sweden","single","9 years","men",65302,63980,60706,58274,54321,50044,48357,48396,47970,49726,50102,52202,54209,55908,56305,59189,60568,62365,63716,65919,63641,64386,64198
"00 Sweden","single","9 years","women",61446,60525,58183,55952,51405,48037,45874,45491,45652,46851,47365,49846,51555,52791,53684,56038,57139,58612,60150,62249,60196,60994,60390
"00 Sweden","single","10 years","men",65588,65488,64210,60944,58481,54481,50436,48776,48790,48339,50016,50400,52588,54901,56538,57076,60092,61423,63197,64233,66193,63862,64589
"00 Sweden","single","10 years","women",62314,61652,60720,58413,56121,51557,48413,46243,45870,46035,47101,47615,50220,52180,53364,54402,56862,57936,59409,60664,62454,60436,61154
"00 Sweden","single","11 years","men",62175,65854,65720,64393,61124,58658,54929,50878,49197,49239,48645,50332,50781,53319,55521,57224,57999,60983,62172,63762,64457,66500,64108
"00 Sweden","single","11 years","women",58898,62561,61924,60898,58565,56266,51954,48787,46630,46236,46349,47407,48075,50890,52753,53989,55212,57688,58669,59892,60873,62677,60640
"00 Sweden","single","12 years","men",60765,62407,66135,65920,64585,61303,59025,55344,51329,49596,49552,48971,50768,51412,53958,56218,58201,58927,61758,62750,64030,64738,66744
"00 Sweden","single","12 years","women",57149,59100,62781,62145,61093,58713,56659,52318,49159,47085,46500,46598,47861,48649,51450,53410,54752,55943,58337,59155,60157,61092,62893
"00 Sweden","single","13 years","men",56697,61039,62678,66380,66113,64765,61708,59407,55769,51849,49897,49896,49421,51540,52106,54687,57211,59056,59680,62344,63019,64315,64985
"00 Sweden","single","13 years","women",54411,57415,59300,63004,62288,61254,59086,56951,52682,49578,47367,46818,46960,48492,49199,52088,54149,55436,56602,58855,59461,60418,61270
"00 Sweden","single","14 years","men",56080,56953,61290,62910,66551,66293,65166,62045,59919,56215,52223,50306,50408,50159,52295,52930,55766,58168,59838,60263,62639,63355,64577
"00 Sweden","single","14 years","women",52959,54639,57632,59498,63183,62454,61607,59441,57339,53114,49864,47621,47201,47590,49078,49783,52856,54893,56096,57101,59084,59674,60611
"00 Sweden","single","15 years","men",54532,56322,57198,61546,63125,66740,66672,65580,62549,60461,56659,52783,51005,51294,51042,53287,54366,57017,58915,60386,60568,62932,63641
"00 Sweden","single","15 years","women",51324,53158,54875,57835,59673,63365,62779,61919,59829,57764,53413,50230,47980,47890,48184,49781,50526,53557,55462,56558,57350,59379,59916
"00 Sweden","single","16 years","men",52390,54784,56598,57461,61740,63290,67172,67281,66175,63343,61106,57550,53772,52075,52562,52338,55217,56202,57928,59498,60769,60892,63266
"00 Sweden","single","16 years","women",49266,51564,53391,55092,58061,59861,63744,63139,62318,60342,58129,53823,50708,48752,48624,48994,50694,51353,54240,56025,56839,57666,59688
"00 Sweden","single","17 years","men",51201,52655,55084,56885,57659,61943,63729,67881,67950,66902,64080,62015,58464,54930,53392,54089,54633,57284,57108,58491,59801,61136,61248
"00 Sweden","single","17 years","women",48224,49464,51786,53590,55293,58255,60229,64099,63596,62821,60737,58522,54325,51426,49431,49433,49972,51506,51997,54729,56278,57132,57933
"00 Sweden","single","18 years","men",51702,51422,52904,55346,57090,57825,62325,64241,68371,68441,67406,64591,62565,59274,55957,54554,56366,58066,58705,57722,58890,60265,61632
"00 Sweden","single","18 years","women",48614,48251,49546,51850,53605,55293,58361,60423,64293,63890,63092,60977,58852,54837,51979,50179,50371,50936,52225,52486,55013,56627,57516
"00 Sweden","single","19 years","men",51460,51795,51519,52985,55423,57142,58088,62539,64447,68553,68653,67626,64810,63057,59963,56636,55879,57407,61081,59901,57971,59310,60716
"00 Sweden","single","19 years","women",48644,48357,47991,49271,51578,53308,55081,58218,60139,64142,63596,62926,60915,58984,55073,52282,50731,50746,51250,52541,52653,55240,56934
"00 Sweden","single","20 years","men",52903,51477,51812,51516,52953,55375,57364,58227,62673,64637,68592,68757,67785,65179,63663,60691,57976,56560,58949,64219,60171,58326,59730
"00 Sweden","single","20 years","women",49576,48357,48041,47750,48872,51220,53047,54771,57842,59830,63756,63316,62804,60940,59139,55277,52764,51012,50939,51297,52485,52703,55380
"00 Sweden","single","21 years","men",51756,52837,51389,51743,51464,52873,55678,57499,58220,62760,64656,68666,68847,68048,65825,64369,62149,58575,57065,60124,64635,60484,58633
"00 Sweden","single","21 years","women",48268,49167,47977,47557,47287,48384,50838,52617,54293,57492,59442,63245,62990,62566,60732,59145,55456,52760,50945,50912,51219,52399,52743
"00 Sweden","single","22 years","men",49920,51609,52850,51371,51728,51493,53186,55953,57675,58739,63132,64730,68834,69098,68613,66695,65795,62909,59184,57701,60543,65081,60993
"00 Sweden","single","22 years","women",46033,47796,48619,47398,47047,46790,48007,50385,52255,54058,57179,59040,62963,62749,62370,60655,59438,55563,52755,51037,50926,51368,52571
"00 Sweden","single","23 years","men",51228,49809,51618,52811,51357,51870,51956,53599,56184,58198,59284,63188,64901,69147,69607,69343,67968,66657,63461,59748,58040,61034,65385
"00 Sweden","single","23 years","women",46281,45536,47202,48048,46843,46573,46314,47608,50047,52018,53769,56676,58673,62579,62485,62224,60718,59449,55642,52722,51096,51127,51647
"00 Sweden","single","24 years","men",51887,50939,49727,51396,52640,51285,52117,52288,53769,56618,58536,59168,63068,64996,69542,70139,70302,68519,66919,63765,59923,58360,61359
"00 Sweden","single","24 years","women",46555,45547,44831,46338,47256,46196,45975,45668,46950,49608,51495,53074,55929,58094,61954,61914,61960,60393,59105,55379,52506,51025,51086
"00 Sweden","single","25 years","men",53579,51426,50469,49319,50915,52238,51101,52071,52166,53800,56579,58038,58821,62948,64936,69629,70759,70507,68476,66892,63669,59956,58475
"00 Sweden","single","25 years","women",47210,45325,44479,43770,45208,46145,45208,45041,44720,46090,48500,50194,51830,54904,57016,60800,61073,61228,59621,58365,54892,52107,50675
"00 Sweden","single","26 years","men",55193,52717,50671,49618,48639,50292,51719,50612,51440,51822,53516,55790,57119,58223,62597,64592,69822,70520,70073,68111,66558,63399,59671
"00 Sweden","single","26 years","women",47592,45670,43799,42990,42364,43671,44666,43764,43560,43417,44749,47011,48550,50460,53461,55486,59492,59779,59872,58523,57565,54176,51400
"00 Sweden","single","27 years","men",52765,53877,51478,49508,48415,47555,49269,50699,49596,50507,50960,52225,54409,56100,57396,61706,64370,69083,69712,69263,67334,65923,62669
"00 Sweden","single","27 years","women",44176,45516,43706,41950,41168,40465,41669,42642,41885,41953,41690,42873,45015,46847,48605,51400,53844,57796,58081,58236,57332,56431,53047
"00 Sweden","single","28 years","men",51531,51098,52192,49962,47885,46920,46100,47944,49030,48353,49069,49422,50386,52911,54807,56013,60808,63179,67686,68275,68261,66296,64744
"00 Sweden","single","28 years","women",41872,41976,43177,41534,39710,39062,38189,39504,40452,39873,39797,39581,40747,42879,44780,46446,49396,51868,55745,56033,56818,55946,54762
"00 Sweden","single","29 years","men",49430,49510,49166,50133,47954,45936,45171,44357,46175,47303,46421,47106,47494,48692,51304,53020,54849,59343,61484,65852,66923,66912,64751
"00 Sweden","single","29 years","women",38980,39552,39594,40768,39114,37468,36641,35827,37100,38109,37548,37625,37299,38723,40786,42331,44479,47221,49638,53570,54334,55175,53922
"00 Sweden","single","30 years","men",44700,47238,47239,46848,47621,45496,43698,43033,42184,44082,44959,44191,44714,45477,46780,49211,51349,53102,57427,59389,64077,65278,64918
"00 Sweden","single","30 years","women",34570,36666,37161,37113,37973,36314,34818,34079,33286,34694,35513,35043,35221,35072,36494,38388,40097,42141,44883,47343,51788,52552,52827
"00 Sweden","single","31 years","men",41597,42791,45025,45018,44485,45248,43122,41549,40953,40175,41883,42618,42005,42636,43374,44761,47539,49527,51188,55433,57758,62356,63082
"00 Sweden","single","31 years","women",31500,32801,34722,35040,34904,35507,33962,32511,31900,31316,32439,33337,32851,33269,33126,34449,36393,38124,40102,42816,45694,49937,50321
"00 Sweden","single","32 years","men",41217,39768,40778,42906,42606,42130,42878,40859,39398,38778,37996,39674,40314,40010,40728,41296,43156,45701,47673,49142,53705,56153,60147
"00 Sweden","single","32 years","women",31049,30037,31126,32922,32990,32720,33278,31790,30473,30010,29354,30543,31392,30998,31365,31362,32751,34580,36377,38325,41339,44181,47776
"00 Sweden","single","33 years","men",41376,39455,38012,38932,40645,40396,39787,40551,38537,37524,36612,36004,37474,38467,38110,38783,39753,41426,43813,45766,47716,52000,54048
"00 Sweden","single","33 years","women",30723,29741,28703,29613,31084,31058,30816,31306,29844,28824,28129,27644,28820,29737,29408,29739,29821,31250,32931,34767,36990,39963,42328
"00 Sweden","single","34 years","men",39856,39702,37817,36301,36995,38499,38357,37678,38284,36688,35364,34740,34065,35655,36628,36277,37205,38112,39716,42151,44264,46231,50034
"00 Sweden","single","34 years","women",29285,29574,28571,27501,28175,29447,29422,29143,29475,28367,27107,26470,26107,27401,28259,27945,28269,28526,29816,31572,33601,35820,38292
"00 Sweden","single","35 years","men",37387,38367,38133,36180,34587,35112,36600,36292,35650,36446,34602,33468,32845,32437,34031,34952,34824,35719,36522,38116,40836,43046,44499
"00 Sweden","single","35 years","women",27405,28305,28585,27394,26192,26805,27963,27853,27486,27905,26672,25636,25017,24892,26016,26814,26578,26968,27310,28610,30645,32591,34489
"00 Sweden","single","36 years","men",35003,36047,36970,36670,34601,32994,33584,34767,34466,33964,34504,32837,31683,31386,30980,32457,33535,33475,34286,35184,36899,39704,41558
